2026-05-09 13:15:49,930 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53836062: 90:25:020103:356 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:50,567 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53842799: 90:25:000000:3899 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:51,160 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55133438: 90:25:020103:4644 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:15:51,735 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55133040: 90:25:020103:4650 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:15:52,393 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55128162: 90:25:020103:4654 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:15:52,962 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55133697: 90:25:020103:4655 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:15:53,594 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53831500: 90:25:020103:4918 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:54,207 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127964: 90:25:020103:682 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:15:54,764 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54172672: 90:25:020102:685 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:15:55,423 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53841337: 90:25:020102:686 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:55,981 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53829841: 90:25:020103:748 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:20,788 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53834295: 90:25:020103:749 (building), прав: 2, ограничений объекта: 0
2026-05-09 13:16:21,360 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127913: 90:25:020103:753 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:16:21,916 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127849: 90:25:020103:760 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:16:22,500 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55134051: 90:25:020103:762 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:23,058 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55134186: 90:25:020103:764 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:23,680 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53839435: 90:25:020103:8056 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:24,281 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53838929: 90:25:020103:8057 (structure), прав: 1, ограничений объекта: 0
